Breed,Group,P1,P2,P3,P4,P5,P6,P7,P8,P9
Hungarian Wirehaired Vizsla,Gundogs,1.633333333,2.933333333,1.633333333,1.183333333,4.6,2.25,1.933333333,2.2,1.766666667
Ibizan Hound,Hounds,1.9,2.966666667,1.6,1.466666667,4.35,2.1,2.2,2.1,2.033333333
Icelandic Sheepdog,Working Dogs,1.7,2.766666667,1.633333333,1.233333333,4.6,2.2,2.0,2.15,1.75
Irish Red and White Setter,Gundogs,1.533333333,2.866666667,1.533333333,1.05,4.7,2.15,1.9,2.1,1.65
Irish Setter,Gundogs,1.533333333,2.966666667,1.566666667,0.966666667,4.8,2.2,2.0,2.15,1.616666667
Irish Terrier,Terriers,2.016666667,2.833333333,1.766666667,1.6,4.45,2.25,2.166666667,2.2,2.05
Irish Water Spaniel,Gundogs,1.733333333,2.733333333,1.566666667,1.316666667,4.5,2.1,1.966666667,2.075,1.816666667
Irish Wolfhound,Hounds,1.633333333,2.766666667,1.533333333,1.15,4.6,2.1,2.0,2.0,1.733333333
Italian Greyhound,Toys,1.95,2.666666667,1.9,1.533333333,4.25,2.55,2.2,2.4,1.9
Italian Spinone,Gundogs,1.6,2.5,1.533333333,1.15,4.6,2.1,1.933333333,2.0,1.6
Jack Russell Terrier,Terriers,1.933333333,3.066666667,1.733333333,1.416666667,4.55,2.3,2.166666667,2.275,2.0
Japanese Chin,Toys,2.05,2.366666667,1.966666667,1.616666667,4.2,2.6,2.3,2.4,1.816666667
Japanese Spitz,Non-Sporting,1.866666667,2.6,1.766666667,1.416666667,4.4,2.35,2.133333333,2.25,1.8
Kangal Shepherd Dog,Utility,2.3,2.4,1.666666667,2.033333333,4.15,1.95,2.2,1.925,2.233333333
Karelian Bear Dog,Non-Sporting,2.216666667,2.8,1.733333333,1.866666667,4.25,2.1,2.3,2.125,2.233333333
Keeshond,Non-Sporting,1.733333333,2.533333333,1.733333333,1.283333333,4.5,2.35,2.033333333,2.225,1.666666667
Kerry Blue Terrier,Terriers,2.033333333,2.733333333,1.766666667,1.65,4.35,2.25,2.166666667,2.2,2.033333333
King Charles Spaniel,Toys,1.8,2.433333333,1.866666667,1.35,4.45,2.55,2.1,2.325,1.683333333
Komondor,Working Dogs,2.2,2.2,1.633333333,2.0,4.15,1.95,2.166666667,1.925,2.083333333
Kuvasz,Working Dogs,2.166666667,2.3,1.666666667,1.916666667,4.2,2.0,2.166666667,1.95,2.066666667
Labrador Retriever,Gundogs,1.316666667,2.833333333,1.5,0.783333333,4.95,2.15,1.733333333,2.05,1.45
Lagotto Romagnolo,Gundogs,1.616666667,2.666666667,1.566666667,1.183333333,4.6,2.15,1.9,2.075,1.683333333
Lakeland Terrier,Terriers,1.983333333,2.733333333,1.766666667,1.566666667,4.4,2.3,2.166666667,2.225,1.983333333
Landseer (European Continental Type),Utility,1.616666667,2.333333333,1.566666667,1.183333333,4.6,2.15,1.9,2.025,1.55
Large Munsterlander,Gundogs,1.666666667,2.733333333,1.6,1.233333333,4.6,2.15,1.933333333,2.075,1.766666667
Leonberger,Utility,1.733333333,2.433333333,1.633333333,1.316666667,4.5,2.2,1.966666667,2.1,1.683333333
Lhasa Apso,Non-Sporting,2.166666667,2.366666667,1.966666667,1.816666667,4.1,2.5,2.3,2.35,1.983333333
Lowchen (Little Lion Dog),Toys,1.8,2.566666667,1.833333333,1.35,4.45,2.5,2.1,2.325,1.733333333
Maltese,Toys,2.083333333,2.533333333,2.133333333,1.666666667,4.2,2.8,2.3,2.55,1.916666667
Manchester Terrier,Terriers,1.933333333,2.7,1.766666667,1.5,4.4,2.3,2.133333333,2.225,1.933333333
Maremma Sheepdog,Working Dogs,2.1,2.433333333,1.633333333,1.8,4.3,2.0,2.133333333,1.975,2.033333333
Mastiff,Utility,1.983333333,2.1,1.666666667,1.6,4.4,2.1,2.133333333,1.975,1.75
Miniature American Shepherd,Working Dogs,1.7,3.0,1.666666667,1.3,4.6,2.25,1.933333333,2.225,1.866666667
Miniature Pinscher,Toys,2.266666667,2.766666667,2.033333333,1.816666667,4.1,2.6,2.433333333,2.525,2.133333333
Mudi,Working Dogs,1.8,2.866666667,1.666666667,1.433333333,4.5,2.2,1.966666667,2.175,1.933333333
Murray River Retriever,Gundogs,1.5,2.766666667,1.533333333,1.05,4.7,2.15,1.833333333,2.075,1.616666667
Neapolitan Mastiff,Utility,2.083333333,1.966666667,1.7,1.733333333,4.3,2.1,2.166666667,1.95,1.816666667
Newfoundland,Utility,1.516666667,2.133333333,1.6,1.133333333,4.7,2.2,1.8,1.975,1.433333333
Norfolk Terrier,Terriers,1.883333333,2.733333333,1.733333333,1.4,4.5,2.3,2.133333333,2.225,1.866666667
Norwegian Buhund,Working Dogs,1.75,2.733333333,1.633333333,1.316666667,4.5,2.2,2.0,2.15,1.8
Norwegian Elkhound,Hounds,1.883333333,2.733333333,1.666666667,1.45,4.4,2.2,2.1,2.15,1.916666667
Norwich Terrier,Terriers,1.933333333,2.633333333,1.7,1.433333333,4.45,2.25,2.133333333,2.175,1.866666667
Nova Scotia Duck Tolling Retriever,Gundogs,1.616666667,2.966666667,1.6,1.166666667,4.7,2.2,1.933333333,2.15,1.766666667
Old English Sheepdog,Working Dogs,1.716666667,2.566666667,1.7,1.283333333,4.5,2.3,2.0,2.175,1.7
Otterhound,Hounds,1.7,2.7,1.533333333,1.233333333,4.5,2.1,2.033333333,2.025,1.75
Papillon,Toys,1.816666667,2.833333333,1.833333333,1.366666667,4.5,2.45,2.066666667,2.35,1.85
Parson Russell Terrier,Terriers,1.983333333,2.966666667,1.733333333,1.516666667,4.5,2.25,2.2,2.25,2.033333333
Pekingese,Toys,2.333333333,2.266666667,2.1,1.95,4.0,2.65,2.466666667,2.475,2.016666667
Peruvian Hairless Dog (Large),Non-Sporting,2.016666667,2.5,1.733333333,1.633333333,4.3,2.2,2.2,2.125,1.95
Peruvian Hairless Dog (Medium),Non-Sporting,2.1,2.466666667,1.8,1.716666667,4.2,2.3,2.266666667,2.225,1.966666667
Peruvian Hairless Dog (Small),Non-Sporting,2.2,2.433333333,1.9,1.816666667,4.1,2.4,2.366666667,2.325,2.0
Petit Basset Griffon Vendeen,Hounds,1.75,2.7,1.6,1.283333333,4.5,2.15,2.066666667,2.075,1.783333333
Pharaoh Hound,Hounds,1.8,2.933333333,1.566666667,1.366666667,4.45,2.1,2.1,2.075,1.95
Pointer,Gundogs,1.616666667,2.933333333,1.533333333,1.133333333,4.7,2.1,1.933333333,2.075,1.766666667
Polish Lowland Sheepdog,Working Dogs,1.9,2.633333333,1.7,1.533333333,4.4,2.2,2.066666667,2.15,1.916666667
Pomeranian,Toys,2.3,2.7,2.166666667,1.833333333,4.1,2.8,2.5,2.65,2.083333333
Poodle (Miniature),Non-Sporting,1.716666667,2.766666667,1.733333333,1.266666667,4.6,2.35,1.966666667,2.25,1.766666667
Poodle (Standard),Non-Sporting,1.566666667,2.733333333,1.633333333,1.133333333,4.7,2.25,1.833333333,2.15,1.666666667
Poodle (Toy),Non-Sporting,1.883333333,2.666666667,1.9,1.433333333,4.4,2.55,2.1,2.425,1.816666667
Porcelaine,Hounds,1.733333333,2.733333333,1.566666667,1.283333333,4.5,2.1,2.033333333,2.025,1.816666667
Portuguese Podengo (Small Smooth),Hounds,1.916666667,2.866666667,1.666666667,1.5,4.35,2.2,2.166666667,2.175,2.0
Portuguese Podengo (Small Wire),Hounds,2.016666667,2.833333333,1.7,1.6,4.25,2.2,2.266666667,2.225,2.033333333
Portuguese Podengo (Medium Smooth),Hounds,1.833333333,2.9,1.6,1.416666667,4.45,2.1,2.1,2.075,1.983333333
Portuguese Podengo (Medium Wire),Hounds,1.916666667,2.866666667,1.6,1.5,4.35,2.1,2.166666667,2.125,2.0
Portuguese Podengo (Large Smooth),Hounds,1.733333333,2.933333333,1.5,1.316666667,4.55,2.0,2.0,1.975,1.95
Portuguese Podengo (Large Wire),Hounds,1.833333333,2.9,1.533333333,1.416666667,4.45,2.0,2.1,2.025,1.983333333
Portuguese Water Dog,Utility,1.683333333,2.866666667,1.633333333,1.233333333,4.6,2.2,1.966666667,2.15,1.8
Prague Ratter,Toys,2.133333333,2.733333333,1.966666667,1.683333333,4.2,2.55,2.333333333,2.45,2.033333333
Pug,Toys,1.916666667,2.4,1.9,1.416666667,4.4,2.55,2.233333333,2.35,1.7
Puli,Working Dogs,1.966666667,2.733333333,1.733333333,1.633333333,4.3,2.2,2.1,2.2,2.016666667
Pumi,Working Dogs,1.9,2.833333333,1.7,1.533333333,4.4,2.2,2.066666667,2.2,1.983333333
Pyrenean Mastiff,Utility,2.083333333,2.2,1.633333333,1.8,4.3,2.0,2.1,1.925,1.95
Pyrenean Mountain Dog,Utility,2.033333333,2.3,1.666666667,1.716666667,4.4,2.05,2.1,1.95,1.933333333
Pyrenean Sheepdog Longhaired,Working Dogs,1.85,2.733333333,1.666666667,1.45,4.4,2.2,2.033333333,2.175,1.9
Rhodesian Ridgeback,Hounds,1.85,2.8,1.633333333,1.4,4.5,2.15,2.066666667,2.1,1.933333333
Rottweiler,Utility,2.066666667,2.433333333,1.7,1.8,4.4,2.05,2.033333333,2.0,2.05
Russian Black Terrier,Utility,2.016666667,2.5,1.666666667,1.733333333,4.35,2.05,2.066666667,2.025,2.016666667
Russian Toy (Long Haired),Toys,2.233333333,2.6,2.1,1.8,4.1,2.7,2.433333333,2.55,2.033333333
Russian Toy (Smooth Haired),Toys,2.333333333,2.566666667,2.133333333,1.9,4.0,2.7,2.533333333,2.6,2.066666667
Saint Bernard,Utility,1.683333333,2.1,1.633333333,1.283333333,4.5,2.2,1.933333333,2.025,1.533333333
Saluki,Hounds,2.016666667,2.9,1.633333333,1.65,4.2,2.1,2.266666667,2.125,2.133333333
Samoyed,Utility,1.766666667,2.766666667,1.7,1.266666667,4.6,2.3,2.066666667,2.2,1.783333333
Schipperke,Non-Sporting,2.033333333,2.766666667,1.833333333,1.6,4.3,2.35,2.233333333,2.3,2.016666667
Schnauzer,Utility,1.883333333,2.633333333,1.7,1.483333333,4.45,2.2,2.033333333,2.125,1.9
Schnauzer (Giant),Utility,1.95,2.6,1.666666667,1.633333333,4.4,2.1,2.0,2.05,1.983333333
Schnauzer (Miniature),Utility,2.0,2.6,1.8,1.583333333,4.35,2.3,2.166666667,2.225,1.933333333
Scottish Terrier,Terriers,2.066666667,2.533333333,1.8,1.666666667,4.25,2.3,2.2,2.2,1.983333333
Sealyham Terrier,Terriers,1.933333333,2.433333333,1.733333333,1.533333333,4.35,2.25,2.1,2.125,1.85
Shar Pei,Non-Sporting,2.266666667,2.166666667,1.766666667,1.966666667,4.15,2.1,2.3,2.05,2.05
Shetland Sheepdog,Working Dogs,1.7,2.7,1.733333333,1.333333333,4.5,2.35,1.9,2.25,1.766666667
Shiba Inu,Utility,2.233333333,2.466666667,1.7,1.916666667,4.15,2.05,2.3,2.075,2.116666667
Shih Tzu,Non-Sporting,1.933333333,2.4,1.9,1.466666667,4.4,2.55,2.2,2.325,1.75
Shikoku,Utility,2.166666667,2.566666667,1.7,1.816666667,4.25,2.1,2.266666667,2.1,2.083333333
Siberian Husky,Utility,1.933333333,3.033333333,1.733333333,1.4,4.5,2.3,2.233333333,2.25,2.0
Skye Terrier,Terriers,2.016666667,2.433333333,1.833333333,1.633333333,4.25,2.35,2.166666667,2.2,1.916666667
Sloughi,Hounds,2.05,2.8,1.7,1.733333333,4.15,2.15,2.233333333,2.125,2.15
Soft Coated Wheaten Terrier,Terriers,1.85,2.766666667,1.733333333,1.35,4.55,2.3,2.133333333,2.2,1.833333333
Spanish Mastiff,Utility,2.15,2.1,1.633333333,1.85,4.25,1.95,2.133333333,1.875,1.966666667
Spanish Water Dog,Gundogs,1.733333333,2.8,1.6,1.316666667,4.5,2.15,1.966666667,2.125,1.833333333
Staffordshire Bull Terrier,Terriers,1.883333333,2.766666667,1.733333333,1.333333333,4.6,2.3,2.133333333,2.2,1.833333333
Sussex Spaniel,Gundogs,1.65,2.366666667,1.566666667,1.233333333,4.5,2.15,1.933333333,2.025,1.6
Swedish Lapphund,Working Dogs,1.716666667,2.666666667,1.666666667,1.283333333,4.5,2.25,2.0,2.175,1.733333333
Swedish Vallhund,Working Dogs,1.8,2.766666667,1.666666667,1.366666667,4.5,2.2,2.033333333,2.175,1.85
Tatra Shepherd Dog,Working Dogs,2.05,2.433333333,1.633333333,1.766666667,4.3,2.0,2.1,1.975,2.0
Tenterfield Terrier,Terriers,1.883333333,2.866666667,1.733333333,1.383333333,4.55,2.3,2.133333333,2.225,1.9
Tibetan Mastiff,Utility,2.383333333,2.166666667,1.7,2.183333333,4.05,1.95,2.3,1.95,2.216666667
Tibetan Spaniel,Toys,1.966666667,2.433333333,1.833333333,1.55,4.3,2.4,2.166666667,2.25,1.85
Tibetan Terrier,Non-Sporting,1.883333333,2.466666667,1.766666667,1.466666667,4.4,2.35,2.1,2.2,1.8
Tornjak,Utility,2.083333333,2.333333333,1.633333333,1.8,4.3,2.0,2.1,1.95,2.0
Weimaraner,Gundogs,1.733333333,2.966666667,1.633333333,1.266666667,4.6,2.2,2.0,2.175,1.866666667
Weimaraner (Longhair),Gundogs,1.65,2.866666667,1.566666667,1.183333333,4.7,2.1,1.933333333,2.075,1.783333333
Welsh Corgi (Cardigan),Working Dogs,1.8,2.633333333,1.7,1.366666667,4.5,2.25,2.033333333,2.175,1.8
Welsh Corgi (Pembroke),Working Dogs,1.733333333,2.733333333,1.666666667,1.266666667,4.6,2.25,2.0,2.175,1.766666667
Welsh Springer Spaniel,Gundogs,1.566666667,2.766666667,1.566666667,1.1,4.7,2.15,1.9,2.075,1.666666667
Welsh Terrier,Terriers,1.966666667,2.7,1.733333333,1.516666667,4.45,2.25,2.133333333,2.175,1.95
West Highland White Terrier,Terriers,2.016666667,2.633333333,1.8,1.583333333,4.35,2.3,2.2,2.225,1.95
Whippet,Hounds,1.666666667,2.9,1.566666667,1.183333333,4.6,2.15,2.0,2.05,1.816666667
White Swiss Shepherd Dog,Working Dogs,1.766666667,2.8,1.7,1.4,4.5,2.25,1.966666667,2.2,1.866666667
Wirehaired Slovakian Pointer,Gundogs,1.7,2.9,1.6,1.233333333,4.6,2.15,2.0,2.125,1.816666667
Xoloitzcuintle,Non-Sporting,2.066666667,2.433333333,1.766666667,1.716666667,4.2,2.25,2.2,2.175,1.966666667
Yakutian Laika,Utility,1.95,2.866666667,1.7,1.5,4.4,2.2,2.166666667,2.175,2.016666667
Yorkshire Terrier,Toys,2.183333333,2.733333333,2.1,1.75,4.2,2.7,2.366666667,2.55,2.066666667
Yugoslavian Shepherd Dog (Sharplanina),Utility,2.15,2.3,1.633333333,1.9,4.2,1.95,2.133333333,1.925,2.066666667
